name,type,company,description,amount,notes,notes2,notes3,notes4
Jean-Luc Bleunven,pro,,Agriculteur,2012 : 14164 EUR,Bénéfice Agricole 2012 : 14164 EUR,,,
Alain Vasselle,pro,,Agriculteur,2014 : 76500 EUR par an,Bénéfice agricole 2014 : + 39529 + 36971,,,
Brigitte Allain,pro,,Agriculteur,2011 : 2379 EUR,Agriculture - EARL Les VIGONIES  -  exercice 2011 : 2151 EUR  - salaires et assimilés : 2379 EUR,,,
Benoît Huré,pro,,Agriculteur,4320 EUR par an,360 EUR par mois - associé avec 2 autres agriculteurs dans la cadre d'un Groupement Agricole d'Exploitation en Commun exploitant une ferme polyculture-élevage d'une Surface Agricole Utile de 236 Hectares,,,
Rémi Delatte,pro,,Agriculteur EARL,2012 : 25976 EUR,Exploitation agricole EARL 25976 (en 2012),,,
Daniel Gremillet,pro,,Agriculteur EARL Remyllet,10665 EUR par an,,,,
Philippe Adnot,pro,,Agriculteur membre de la SCEA,2012 : 35724 EUR par an,"2012 : 2977 EUR par an. A 58,86 % en 2008, 14,20% en 2011",,,
Jean-Yves Roux,pro,,Animateur d'équipe CPAM des AHP (en disponibilité à partir du 20/10/2014),NÉANT,15240 EUR annuel 2013,,,
Chantal Deseyne,pro,,Animation atelier d'encadrement d'art,2012:12264 EUR par an,2012:1022 EUR par mois,,,
Chantal Deseyne,pro,,Animation atelier d'encadrement d'art,2008: 15780 EUR par an,2008: 1315 EUR par mois,,,
Chantal Deseyne,pro,,Animation atelier d'encadrement d'art,2009: 16332 EUR par an,2009: 1361 EUR par mois,,,
Chantal Deseyne,pro,,Animation atelier d'encadrement d'art,2010: 13980 EUR par an,2010: 1165 EUR par mois,,,
Chantal Deseyne,pro,,Animation atelier d'encadrement d'art,2011: 14668 EUR par an,2011: 1224 EUR par mois,,,
Stéphane Demilly,pro,,Animatrice de conférences,2013 : 40440 EUR,"Animation de conférences en France et à l'étranger sur le modèle Herrmann (université du Texas), modèle d' analyse des préférences cérébrales et comportementales. Activité exercée à titre indépendant- BNC 2013 : 40 440 BNC 2012 : 43 666 BNC 2011 : (- 9 404) BNC 2010 : 10 854",,,
Stéphane Demilly,pro,,Animatrice de conférences,2010 : 10854,"Animation de conférences en France et à l' étranger sur le modèle Herrmann (université du Texas), modèle d' analyse des préférences cérébrales et comportementales. Activité exercée à titre indépendant- BNC 2013 : 40 440 BNC 2012 : 43 666 BNC 2011 : (- 9 404) BNC 2010 : 10 854",,,
Stéphane Demilly,pro,,Animatrice de conférences,2011 : - 9404 EUR,"Animation de conférences en France et à l' étranger sur le modèle Herrmann (université du Texas), modèle d' analyse des préférences cérébrales et comportementales. Activité exercée à titre indépendant- BNC 2013 : 40 440 BNC 2012 : 43 666 BNC 2011 : (- 9 404) BNC 2010 : 10 854",,,
Stéphane Demilly,pro,,Animatrice de conférences,2012 : 43666 EUR,"Animation de conférences en France et à l'étranger sur le modèle Herrmann (université du Texas), modèle d' analyse des préférences cérébrales et comportementales. Activité exercée à titre indépendant- BNC 2013 : 40 440 BNC 2012 : 43 666 BNC 2011 : (- 9 404) BNC 2010 : 10 854",,,
Daniel Boisserie,pro,,Architecte,2012 : -8009 EUR,Déficit du cabinet,,,
Carlos Da Silva,pro,,Assistant parlementaire,23440 EUR par an,1800 EUR/mois sur 13 mois,,,
Jean-Marie Beffara,pro,,Assistant parlementaire,32736 EUR par an,,,,
Gilles Lurton,pro,,Assistant Parlementaire,33000 EUR par an,"Rémunération depuis le 1er Janvier 2009: 185,826.22 EUR Cf. Annexe au document",,,
Jean-Louis Bricout,pro,,Assistant parlementaire,8400 EUR par an,Assistant parlementaire de M. Balligaud du 01/11/2011 au 31/05/2012 - temps partiel 700 EUR/mois,,,
Brigitte Micouleau,pro,,Assistante de direction à mi-temps,15252 EUR par an,,,,
Marie-Hélène Fabre,pro,,Assistante parlementaire,56846 EUR par an,"4737,2",,,
Étienne Blanc,pro,,Associé SARL,100 EUR,Ai conservé une part dans la SELARL BLANC LARMARAUD BOGUE ANGELI GOSSWEILER,,,
Luc Belot,pro,,Attaché parlementaire de Sénateur,22205 EUR par an,Attaché parlementaire du Sénateur Daniel Raoul - 1850.44 EUR mensuel,,,
Régis Juanico,pro,,Attaché territorial,34278 EUR par an,"Attaché territorial DRH - Région Rhône-Alpes  -  2856,50 EUR net",,,
Cédric Perrin,pro,,Attaché territorial stagiaire (chargé de mission),"37822,56 EUR par an",,,,
Alexis Bachelay,pro,,Attaché territorial Ville de Nanterre,28560 EUR par an,28560,,,
Florence Delaunay,pro,,Attachée territoriale principale Côte Landes Nature,63600 EUR par an,Détachée le 27/09/2014,,,
Françoise Dumas,pro,,Auditeur interne,46981 EUR par an,"3915,14 EUR mensuels",,,
Hervé Féron,pro,,Auteur,1000 EUR par an.,"J'ecris encore ponctuellement quelques textes ou musiques, ce qui me rapporte des droits Sacem lorsque ces œuvres sont interprétées - moins de 1000 EUR par an",,,
Ronan Dantec,pro,,Auteur,1000 EUR par an,"Auteur (expositions, livres illustrés)",,,
Gilbert Collard,pro,,Auteur,7782 EUR par an,"Auteur percevant des droits d'auteur - mensuelle 648,50",,,
Noël Mamère,pro,,Auteur de documentaires télévisés,60547 EUR par an,"5045,65 EUR",,,
Roger-Gérard Schwartzenberg,pro,,Auteur de livres,,droits d'auteur,,,
Jean-Michel Clément,pro,,Avocat,NÉANT,Avocat libéral - AUCUNE Cf résultats ci-dessous,,,
Yves Foulon,pro,,Avocat,NÉANT,Avocat à la Cour SCP AVOCAUIR,,,
Marcel Bonnot,pro,,Avocat,NÉANT,voir BNC (2035) joint,,,
Gilles Bourdouleix,pro,,Avocat,7000 EUR par an,7000,,,
Leila Aïchi,pro,,AVOCAT,22145 EUR par an,,,,
Thani Mohamed Soilihi,pro,,Avocat,60000 EUR par an,5000 EUR / mois,,,
Yves Jégo,pro,,Avocat,61461 EUR par an,AVOCAT Profession libérale exercée à Paris - 61461,,,
François Zocchetto,pro,,Avocat,188583 EUR par an,Estimation en 2013,,,
Frédéric Lefebvre,pro,,Avocat,207575 EUR par an,Estimation,,,
Christophe Caresche,pro,,Avocat,,Avocat jusqu'au 30 juin 2012 Mise en omission à ma demande par le Conseil de l'Ordre (ci-joint arrêté),,,
Claude Goasguen,pro,,Avocat,,2012 : déficit,,,
Denys Robiliard,pro,,avocat,,,,,
Edouard Philippe,pro,,Avocat,,Je ne suis pas certain de comprendre la question. Vous voulez connaître mon taux horaire au jour de l'élection ? Ma rémunération mensuelle / annuelle moyenne ?,,,
Pierre Morel-A-L'Huissier,pro,,Avocat,,Déficit,,,
Rudy Salles,pro,,Avocat,,,,,
Jean-François Copé,pro,,Avocat,2012 : 313703 EUR par an,,,,
Philippe Bonnecarrère,pro,,Avocat,NÉANT,"A compter de mon élection NÉANT, renonciation à ma part de rémunération",,,
Philippe Houillon,pro,,Avocat,2013 : 48000 EUR,Avocat (Généraliste) membre de la SCP d'avocats PETIT-MARCOT-HOUILLON et Associés (Temps Partiel) - 4000 EUR par mois en 2013 (Nota: BNC 2013 non définitivement arreté à ce jour),,,
Jean Glavany,pro,,Avocat,60935 EUR par an,Avocat au cabinet 'Parme avocats',,,
Yann Galut,pro,,Avocat,2012 : 67119 EUR,Avocat au cabinet d'avocat SCP GALUT DUIVON BERTHON  -  Rémunération variable pour 2012 : 67119 EUR,,,
Gilbert Collard,pro,,Avocat,2012 : 393598 EUR,"Avocat (gérant de la SELARL COLLARD) - mensuelle = 32799,9 (en 2012)",,,
Jean-Yves Le Bouillonnec,pro,,Avocat (omission du Barreau en décembre 2010),NÉANT,,,,
Étienne Blanc,pro,,Avocat (profession non exercée depuis 2002),NÉANT,,,,
Yves Nicolin,pro,,Avocat à la Cour,2013 : 20000 EUR,Avocat à la Cour - Estimation 2013 environ 20000 EUR 2012: 20134 EUR,,,
Alain Tourret,pro,,Avocat à la Cour d'Appel,2012 : 51241 EUR par an,,,,
François Baroin,pro,,Avocat exerçant en régime libéral,"Reprise des activités depuis le 22/07/2014, Les rémunérations, revenus, BNC ne sont connus qu'à la clotûre de l'année fiscale en cours","Avocat, exerçant en application du régime encadrant les incompatibilités liées à l'exercice de mes actuels mandats de parlementaire et d'élu local.",,,
Jacques Bigot,pro,,Avocat honoraire sans activité,25900 EUR par an,2158 EUR mensuels de retaraite,,,
Jean-François Copé,pro,,Avocat jusqu'au 30/06/13,2013 : 184734 EUR par an,Réinscription au barreau le 17 juin 2014,,,
Guillaume Larrivé,pro,,Avocat omis du Barreau de Paris depuis le 15/09/2015,,,,,
Colette Capdevielle,pro,,Avocate,2013 : 27317 EUR,Avocate inscrite au Barreau de Bayonne - en 2012 : 27 317 EUR en 2013 : déclaration pas encore établie par l'Expert comptable,,,
Henri Tandonnet,pro,,Avoué à la cour,2011 : 71251 EUR,"En 2011, Avoué à la cour",,,
Philippe Vigier,pro,,Biologiste Cogérant,2013 : 55560 EUR,Biologiste dans un laboratoire d'analyses médicales privé (SEL de la Madeleine) Cogérant - au 31/12/2013 55560 EUR (+csg non déductible pas encore calculée à ce jour),,,
Philippe Noguès,pro,,Cadre commercial,NEANT,Cadre commercial SAS PHILIP MORRIS France 46150 EUR par an contrat travail suspendu  le 1er juillet 2012,,,
Jean-Noël Carpentier,pro,,Cadre commercial,27284 EUR par an,"Cadre commercial auprès de la société BERIM -En raison de mon élection comme député, j'ai suspendu mon contrat de travail à compter du 1er juillet 2012 en application de l'article L.3142-60 du code du travail Dernier salaire perçu le 30 juin 2012 pour un montant de 2273,70 EUR",,,
Claude de Ganay,pro,,Cadre de la fonction publique territoriale,NEANT,"Cadre de la fonction publique territoriale - 3560,39 EUR / mois jusqu'à la date de mon élection à l'AN (après détachement de plein droit)",,,
Frédéric Barbier,pro,,Cadre ERDF / GRDF,37100 EUR par an,"3094,66 EUR par mois (février 2015)",,,
Pierre-Yves Le Borgn',pro,,Cadre supérieur société First Solar GMBH,168000 EUR par an,14000 EUR (salaire mensuel),,,
Gisèle Jourda,pro,,"Cadre territorial, attachée principale en mairies","54491,76 EUR par an",,,,
Christophe Premat,pro,,Chargé de cours à l'Université de Stockholm,,Chargé de cours à l'Université de Stockholm (jusqu'au 30/06/2014) au département de langues romanes,,,
Jean-Yves Le Déaut,pro,,Chargé de cours à Sciences-Po Paris (24 heures annuelles) Cette activité a cessé début 2013,2268 EUR par an,Chargé de cours à Sciences-Po Paris  -  2268,,,
Thomas Thévenoud,pro,,Chargé de formation de la Direction Générale d'ERDF,23400 EUR net par an,net,,,
Laurent Baumel,pro,,Chargé de mission,2012 : 61064 EUR,Chargé de mission à la Direction générale des statistiques de la Banque de France jusqu'en juin 2012 - Salaires nets imposables : 61064 sur l'année 2012,,,
Michel Pouzol,pro,,Chargé de mission,36000 EUR par an,"Chargé de mission auprès du Président Agence Espaces Verts Iles de France - 3000,00 EUR",,,
Florent Boudié,pro,,Chargé de mission auprès du Directeur Général des services,"2012 : 7318,86 EUR","Chargé de mission auprès du Directeur Général des services de la Ville de Libourne - -Temps partiel 50 % : du 1er au 17 juin 2012 -Net à payer : 1.219,81 EUR",,,
Michel Sordi,pro,,Chargé de mission Direction de la construction durable,40157 EUR par an,brut annuel DIAM1 le 18/06/2014 avenant contrat de travail,,,
Jean-Yves Leconte,pro,,Chargé de missions,NÉANT,Missions auprès de la société EKOPIPE ayant fait l'objet d'une déclaration auprès du Bureau du Sénat - Aucune après la date d'élection,,,
Claude Bérit-Débat,pro,,NEANT,,,,,
Jean-Pierre Cantegrit,pro,,Chargé des relations extérieures du Groupe Castel,"72881,64 EUR par an",,,,
Stéphane Travert,pro,,Chef de cabinet de Ville de Caen - Contractuel Fonction Publique Territoriale,2012 : 47198 EUR par an,Ville de CAEN - CHEF de CABINET Contractuel Fonction Publique Territoriale - au 30.06.12 : 23599 EUR cumul NET imposable,,,
Frédérique Espagnac,pro,,Chef de Service Parti socialiste,34932 EUR par an,"2911,00 EUR mois net x13",,,
Alain Fauré,pro,,Chef d'entreprise,2013 : 24952 EUR,24 952 EUR sur 2013,,,
Philippe Briand,pro,,Chef d'entreprise,101643 EUR par an,"101,64 €",,,
Jean-Marc Gabouty,pro,,Chef d'entreprise,105235 EUR par an,,,,
Sophie Errante,pro,,Chef d'entreprise,2012 : 180048 EUR,15 040 (du 1er/01/2012 au 30/06/2012) Démission au 1er/07/2012,,,
Olivier Cadic,pro,,Chef d'entreprise - Direction générale de l'entreprise Cinebook Ltd,NÉANT,,,,
Olivier Cadic,pro,,Chef d'entreprise - Direction générale de l'entreprise Info Elec Ltd,12750 EUR par an,"Du 01/01/2014 au 31/10/2014 : 9235,00 Livres Sterling net",,,
Anne-Lise Dufour-Tonini,pro,,Chef d'établissement scolaire du second degré,54000 EUR par an,4500 EUR mensuel,,,
Éric Jalton,pro,,Chirurgien Dentiste (à temps très partiel),2012 : -15038 EUR,Déficit en 2012 de -15038 EUR AGA bénéfice 2013,,,
Jean-David Ciot,pro,,Chômeur,43452 EUR par an,"Net mensuel : 3621,05",,,
David Douillet,pro,,Co-gérant de société,,Co-gérant société OURS BLANC,,,
Gisèle Jourda,pro,,Collaborateur de cabinet (députation),"17636,64 EUR par an",,,,
Guillaume Bachelay,pro,,Collaborateur de député (Laurent FABIUS),,"En 2012, la cessation du mandat du député entraîna la fin du contrat de travail.",,,
Pouria Amirshahi,pro,,Collaborateur de parlementaire,29520 EUR par an,Salaire net mensuel: 2460 EUR,,,
Eduardo Rihan Cypel,pro,,Collaborateur d'élu,37812 EUR par an,"Collaborateur de Gilbert ROGER au Conseil général de la Seine-Saint-Denis - 3 111,51 EUR net/mois",,,
Éric Jeansannetas,pro,,Collaborateur du sénateur Jean-Jacques Lozach,46776 EUR par an,3898 EUR brut mensuel,,,
Stéphane Claireaux,pro,,Collaborateur parlementaire d'un député,"33918,24 EUR par an","député 975 - 2826,52 EUR par mois",,,
Julie Sommaruga,pro,,Collaboratrice à la Mairie de Paris,33168 EUR par an,Collaboratrice à la Mairie de Paris (démission à la date du 30 juin 2012) - 2764/mois,,,
Audrey Linkenheld,pro,,Collaboratrice de député européen,33360 EUR par an,"Collaboratrice de Gilles PARGNEAUX, députée européen, à mi-temps - 2780/mois net = 3509,01/mois brut",,,
Véronique Louwagie,pro,,Commissaire aux comptes,2014 : 1000 EUR,Prévision 1000 EUR par an pour 2014.,,,
Patricia Morhet-Richaud,pro,,Comptable à la coopérative agricole Alpes Sudable,17885 EUR par an,"BRUT - 17885,70 EUR",,,
Elisabeth Guigou,pro,,Conférence à l'IEP de Paris cours semestriel en master,2000 EUR par an,,,,
Jean-François Copé,pro,,Conférencier,2013 : 35135 EUR par an,,,,
Pascal Terrasse,pro,,Conférencier Sciences Po,3720 EUR par an,93 EUR / heure depuis février 2010 (3720 EUR perçus),,,
François-Michel Lambert,pro,,Conseil  en aménagement du territoire,,Profession libérale conseil en aménagement du territoire auprès des collectivités grands comptes et entreprises - 2012  NEANT voir consultant point n°3,,,
Pierre Charon,pro,,Conseil Economique et Social,,,,,
Luc Chatel,pro,,Conseil en stratégie et accompagnement,2013 : 183135 EUR,2012 : 51000 EUR 2013 : 183135 EUR,,,
Olivier Marleix,pro,,Conseiller au cabinet du Ministre de l'Intérieur (Février 2011- Mai 2012),102024 EUR par an,Conseiller au cabinet du Ministre de l'Intérieur,,,
Pierre Charon,pro,,Conseiller de Paris,,Conseiller de Paris (voir détail ci-dessous),,,
Philippe Bas,pro,,Conseiller d'Etat,100000 EUR par an,100 000 EUR annuels nets (sur 8 mois en 2011 = 67 000 EUR),,,
Alain Richard,pro,,Conseiller d'Etat,104400 EUR par an,"Conseiller d'Etat en service en sections administratives - en moyenne annuelle 8700 EUR par mois, primes comprises",,,
Édouard Courtial,pro,,Conseiller en charge du développement international,93847 EUR par an,"Conseiller en charge du développement international auprès du Président de MSH International, filiale du cabinet de courtage d'assurance SIACI St Honoré (salarié à temps partiel)  -  7219 EUR nets/mois sur 13 mois",,,
Gérard Charasse,pro,,Conseiller général,2013 : 19009 EUR,"Conseiller général de Cusset Sud depuis 1998 - 1806,41 x 6 = 10 838 EUR (6 mois 2012) 1667,42 x 12 = 19009 EUR au titre 2013",,,
Frédéric Roig,pro,,Conseiller général,26652 EUR par an,2221 EUR / mois,,,
Jacques Krabal,pro,,Conseiller Général de l'Aisne,27186 EUR par an,Conseiller Général de l'Aisne (jusqu'en déc 2012) - 2264 EUR,,,
Philippe Bas,pro,,Conseiller juridique,2011 : 40000 EUR,Conseiller juridique de la RATP - 40 000 EUR nets en 2011,,,
Henri Guaino,pro,,Conseiller maître à la Cour des Comptes,70312 EUR par an,"Rémunération nette mensuelle 5859,38 EUR",,,
Michel Bouvard,pro,,Conseiller Maître à la cour des comptes,99600 EUR par an,8300 EUR net par mois y compris primes de rendement. En disponibilité pour la durée du mandat parlementaire,,,
Dominique Lefebvre,pro,,Conseiller maître à la Cour des comptes,NÉANT,Conseiller maître à la Cour des comptes en situation de détachement à l'Assemblée nationale depuis le 18 juin 2012 - 0 EUR à compter du 30 juin 2012,,,
Jean-Louis Bricout,pro,,Conseiller régional (Picardie),25084 EUR par an,"2090,41 EUR/mois (indemnité d'élu)",,,
Bruno Le Maire,pro,,Conseiller régional de Haute Normandie,21000 EUR par an,,,,
Olivier Faure,pro,,Conseiller spécial du Premier Ministre,120000 EUR par an,10000 net mensuel x 12 mois,,,
Sergio Coronado,pro,,Conseiller technique (groupe GDR),"93875,9 EUR par an","Conseiller technique (groupe GDR) - 93875,9 EUR brut 72843,70 EUR net",,,
Sylvie Andrieux,pro,,Conseillère communautaire,2012 : 9216 EUR,768 EUR / mois (valeur 2012),,,
Sylvie Andrieux,pro,,Conseillère municipale Marseille,19740 EUR par an,1645 EUR / mois,,,
Elisabeth Pochon,pro,,Conseillère Principale d'Education,2012 : 27852 EUR,2321 EUR  par  mois en 2012 (légèrement inférieur les années précédentes selon les échelons),,,
Daniel Fasquelle,pro,,Consultant juridique,2013 : 15000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2009 : 15000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2010 : 3000 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2011 : 12500 EUR,Rétributions variables cf. annexes. (document 1),,,
Daniel Fasquelle,pro,,Consultant juridique,2012 : 11000 EUR,Rétributions variables cf. annexes. (document 1),,,
Valérie Lacroute,pro,,Consultant transport auto-entrepreneur,15300 EUR par an,,,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2013 : 893 EUR,Droits d'auteur,,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,"2009 : 11943,15 EUR","Droits d'auteur (Dalloz, Wolters, Lextensio editions)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,"2010 : 13554,30 EUR","Droits d'auteur (Dalloz, Lextensio editions)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2011 : 1137 EUR,"Droits d'auteur (Dalloz, Wolters, Gazette du Palais)",,,
Daniel Fasquelle,pro,,Contributeur dans des revues juridiques,2012 : 2310 EUR,Droits d'auteur,,,
Fanélie Carrey-Conte,pro,,Déléguée nationale d'association,36872 EUR par an,Déléguée nationale de l'association L'ESPER (L'économie sociale partenaire de l'école de la République). Démission en juillet 2012,,,
Arlette Grosskost,pro,,Député,46 798 EUR par an,Député - 46 798 EUR (nette fiscale),,,
Philippe Folliot,pro,,Député,47728 EUR par an,,,,
Jonas Tahuaitu,pro,,Député,"60428,04 EUR par an","Député (2e cir. Polynésie Fr) - 5 035,67 EUR/mois + IRFM 5 770 EUR/mois",,,
Marie-Line Reynaud,pro,,Député,"61785,24 EUR par an","Députée de la charente - 5148,77 EUR",,,
Karine Berger,pro,,Député,63600 EUR par an,Mandat de député - 5300 EUR par mois,,,
Marc-Philippe Daubresse,pro,,Député,"69182,16 EUR par an","Député - Indemnité Mensuelle base Décembre 2013 5765,18 EUR",,,
Philippe Nauche,pro,,Député,"69579,24 EUR par an","depuis 2007 - 5798,27 EUR/mois net",,,
Arnaud Richard,pro,,Député,62400 EUR par an,Juin 2010 - mai 2012 Député - 5200 EUR nets par mois d'indemnités parlementaires,,,
Dominique Bussereau,pro,,Député,"73580,64 EUR par an",Député depuis le 14.12.10 - Montant mensuel de l'indemnité (2011) 6131 EUR72,,,
François de Rugy,pro,,Député,,,,,
Frédéric Roig,pro,,Député,64428 EUR par an,Député 5369 EUR / mois,,,
Frédérique Massat,pro,,Député,,Députée activité prof. néant,,,
Gaëtan Gorce,pro,,Député,,Député de juin 1997 à septembre 2011 - Indemnité correspondante,,,
Gérard Bapt,pro,,Député,,Député - indemnité parlementaire,,,
Gilbert Le Bris,pro,,Député,2013 : 55009,Député - 55009 (année 2013),,,
Jean-Christophe Lagarde,pro,,Député,"67602,24 EUR par an","Député - 5633,52 EUR/mois",,,
Jean-Claude Guibal,pro,,Député,"70097,40 EUR par an",Député -Indemnité Parlementaire mensuelle nette : 5841.45 EUR,,,
Sophie Rohfritsch,pro,,Député,55035 EUR par an,DEPUTEE - 55035,,,
Sylvie Andrieux,pro,,Député,52104 EUR par an,Députée - 4342 EUR / mois,,,
Gérard Charasse,pro,,Député,"2013 : 54592,56 EUR","Député de l'Allier (3ème circonscription), député réélu en juin 2012 (4ème mandat) - 25934 EUR sur 6 mois de 2012 (net imposable) / 54592,56 EUR au titre de l'année 2013 (net imposable)",,,
Sophie Primas,pro,,Député (en 2011),,,,,
Kader Arif,pro,,Député européen,72000 EUR par an,de 5963 EUR à 6200 EUR par mois,,,
Sébastien Huyghe,pro,,Député sortant,,,,,
Aurélie Filippetti,pro,,Députée,,,,,
Michel Boutant,pro,,Détachement de l'Education Nationale depuis septembre 2004,NÉANT,,,,
Hugues Fourage,pro,,Directeur adjoint Chambre consulaire en disponibilité,,En disponibilité depuis 2010,,,
Pascale Gruny,pro,,Directeur Administratif et Financier,79200 EUR par an,Brut,,,
Jean-Vincent Placé,pro,,Directeur centre de formation,34800 EUR par an,Directeur centre de formation à mi-temps - 2900 EUR/mois,,,
Emeric Bréhier,pro,,Directeur de cabinet d'une collectivité territoriale,49645 EUR par an,"Directeur de cabinet d'une collectivité territoriale de septembre 2008 à juin 2012 - 4137,11 EUR / mois",,,
Alain Leboeuf,pro,,Directeur de collège,,Directeur de collège En vacances de poste pendant les élections. Arrêt le 09 juillet 2012.,,,
Benoît Hamon,pro,,Directeur de la société le Fil,24000 EUR par an,2000 EUR par mois,,,
Ronan Dantec,pro,,Directeur de l'entreprise individuelle,,Directeur de l'entreprise individuelle Votre-Expo et de l'EURL Ciné-Collections - Bilan déficitaire en 2012,,,
Guillaume Chevrollier,pro,,Directeur de Programmes Immobilier,56100 EUR par an,Directeur de Programmes Immobilier SNC KHORGEST -4675 EUR net par mois,,,
Dominique de Legge,pro,,Cessation de toute activité professionnelle en octobre 2008,,,,,
Alain Marsaud,pro,,Directeur de sociéte de Casino Guichard Perrachon,165600 EUR par an,13800 EUR brut mensuel,,,
Claude Malhuret,pro,,Directeur département éthique Korian,63600 EUR par an,5300 EUR net par mois,,,
Malek Boutih,pro,,Directeur des relations,42000 EUR par an,Directeur des relations institutionnelles de la Radio Skyrock - 3500,,,
Nicolas Bays,pro,,Directeur des RI de ma.residence.fr,56400 EUR par an,,,,
Bertrand Pancher,pro,,Directeur développement,2012 : 28010 EUR,01/2012 à 05/2012 : 10136 EUR rémunération nette imposable ; Pour l'année 2012 - 28010 EUR rémunération nette imposable,,,
Patrick Chaize,pro,,Directeur du syndicat intercommunal d'énergie et de e-communication de l'Ain,"81938,20 EUR par an","6828,20 EUR par mois",,,
Olivier Cigolotti,pro,,directeur d'un foyer de jeunes travailleurs,32580 EUR par an,2715 EUR PAR MOIS,,,
Meyer Habib,pro,,Directeur Général,84000 EUR par an,Directeur Général du groupe Vendome SA - Avant l'élection  - Salaire mensuel avec prime environ 7000 EUR/mois Après l'élection  - après l'élection du 10 juin 2013 avec prime salaire env 3700 EUR/mois Brut,,,
Serge Dassault,pro,,Directeur Général CHÂTEAU DASSAULT SAS,,non rémunéré sauf jetons de présence bénéficiant à tous les administrateurs,,,
Joël Guerriau,pro,,Directeur général de la Fédération Nationale des Caisses d'Epargne,2011: 485405 EUR,Depuis mon élection 0 EUR,,,
Richard Ferrand,pro,,Directeur général de Mutuelles d'assurances,2012 : 50003 EUR,"Directeur général des Mutuelles de Bretagne - Année 2012: 50003,12 EUR",,,
Christine Pires Beaune,pro,,Directeur général des Services,50727 EUR par an,"DGS Ville de Riom - 4227,28 net mai 2012",,,
Jérôme Durain,pro,,Directeur Sivom Accord,2014: 23681 EUR par an,"2014: 2609 EUR par mois  anualisé sur 9 mois de l'année dernier traitement 26/09/2014, détachement au 1er octobre pour exercice de mandat",,,
Anne-Yvonne Le Dain,pro,,Directrice de recherche CIRAD,63600 EUR par an,5300 EUR/mois,,,
Marie-Noëlle Battistel,pro,,Directrice de Société,18569 EUR par an,"Directrice Société Transports Voyageurs M.M.J Voyages -  1547,48 EUR nets mensuels",,,
